"1","0","Cars have been around since they became famous in the 1900s, when Henry Ford created and built the first ModelT. Cars have played a major role in our every day lives since then. But now, people are starting to question if limiting car usage would be a good thing. To me, limiting the use of cars might be a good thing to do."
"2","1","Under the soft glow of the moon, the quiet whispers of the night revealed secrets only the stars were privy to."
"3","0","Cars have been around since they became famous in the 1900s, when Henry Ford created and built the first ModelT. Cars have played a major role in our every day lives since then. But now, people are starting to question if limiting car usage would be a good thing. To me, limiting the use of cars might be a good thing to do."
"4","1","Under the soft glow of the moon, the quiet whispers of the night revealed secrets only the stars were privy to."
"5","0","Cars have been around since they became famous in the 1900s, when Henry Ford created and built the first ModelT. Cars have played a major role in our every day lives since then. But now, people are starting to question if limiting car usage would be a good thing. To me, limiting the use of cars might be a good thing to do."
"6","1","Under the soft glow of the moon, the quiet whispers of the night revealed secrets only the stars were privy to."
"7","0","Cars have been around since they became famous in the 1900s, when Henry Ford created and built the first ModelT. Cars have played a major role in our every day lives since then. But now, people are starting to question if limiting car usage would be a good thing. To me, limiting the use of cars might be a good thing to do."
"8","1","Under the soft glow of the moon, the quiet whispers of the night revealed secrets only the stars were privy to."
"9","0","Cars have been around since they became famous in the 1900s, when Henry Ford created and built the first ModelT. Cars have played a major role in our every day lives since then. But now, people are starting to question if limiting car usage would be a good thing. To me, limiting the use of cars might be a good thing to do."
"10","1","Under the soft glow of the moon, the quiet whispers of the night revealed secrets only the stars were privy to."
